Time,URL,Status,Size,Redirection
Mon Mar 29 12:02:37 2021,http://yahoo.com:80/.core,301,8,"https://www.yahoo.com/"
Mon Mar 29 12:02:37 2021,http://yahoo.com:80/core,301,8,"https://www.yahoo.com/"
Mon Mar 29 12:02:37 2021,http://yahoo.com:80/coreg,301,8,"https://www.yahoo.com/"
Mon Mar 29 12:02:37 2021,http://yahoo.com:80/core/fragments/moduleInfo.phtml,301,8,"https://www.yahoo.com/"
Mon Mar 29 12:02:37 2021,http://yahoo.com:80/core.inc,301,8,"https://www.yahoo.com/"
Mon Mar 29 12:02:37 2021,http://yahoo.com:80/corp,301,8,"https://www.yahoo.com/"
Mon Mar 29 12:02:37 2021,http://yahoo.com:80/corporate,301,8,"https://www.yahoo.com/"
Mon Mar 29 12:02:37 2021,http://yahoo.com:80/corporation,301,8,"https://www.yahoo.com/"
Mon Mar 29 12:02:37 2021,http://yahoo.com:80/corrections,301,8,"https://www.yahoo.com/"
Mon Mar 29 12:02:37 2021,http://yahoo.com:80/corpo,301,8,"https://www.yahoo.com/"
Mon Mar 29 12:02:37 2021,http://yahoo.com:80/counter,301,8,"https://www.yahoo.com/"
Mon Mar 29 12:02:37 2021,http://yahoo.com:80/count_admin,301,8,"https://www.yahoo.com/"
Mon Mar 29 12:02:37 2021,http://yahoo.com:80/Counter,301,8,"https://www.yahoo.com/"
Mon Mar 29 12:02:37 2021,http://yahoo.com:80/counters,301,8,"https://www.yahoo.com/"
Mon Mar 29 12:02:37 2021,http://yahoo.com:80/country,301,8,"https://www.yahoo.com/"
Mon Mar 29 12:02:37 2021,http://yahoo.com:80/counts,301,8,"https://www.yahoo.com/"
Mon Mar 29 12:02:37 2021,http://yahoo.com:80/count,301,8,"https://www.yahoo.com/"
Mon Mar 29 12:02:37 2021,http://yahoo.com:80/coupon,301,8,"https://www.yahoo.com/"
Mon Mar 29 12:02:37 2021,http://yahoo.com:80/coupons,301,8,"https://www.yahoo.com/"
Mon Mar 29 12:02:37 2021,http://yahoo.com:80/coupons1,301,8,"https://www.yahoo.com/"
Mon Mar 29 12:02:37 2021,http://yahoo.com:80/coupons_admin_cp,301,8,"https://www.yahoo.com/"
Mon Mar 29 12:02:37 2021,http://yahoo.com:80/controller,301,8,"https://www.yahoo.com/"
Mon Mar 29 12:02:37 2021,http://yahoo.com:80/course,301,8,"https://www.yahoo.com/"
Mon Mar 29 12:02:37 2021,http://yahoo.com:80/cover,301,8,"https://www.yahoo.com/"
Mon Mar 29 12:02:37 2021,http://yahoo.com:80/courses,301,8,"https://www.yahoo.com/"
Mon Mar 29 12:02:37 2021,http://yahoo.com:80/coverage.data,301,8,"https://www.yahoo.com/"
Mon Mar 29 12:02:37 2021,http://yahoo.com:80/.coverage,301,8,"https://www.yahoo.com/"
Mon Mar 29 12:02:37 2021,http://yahoo.com:80/coverage.xml,301,8,"https://www.yahoo.com/"
Mon Mar 29 12:02:37 2021,http://yahoo.com:80/cowadmin,301,8,"https://www.yahoo.com/"
Mon Mar 29 12:02:37 2021,http://yahoo.com:80/cp,301,8,"https://www.yahoo.com/"
Mon Mar 29 12:02:37 2021,http://yahoo.com:80/cp/,301,8,"https://www.yahoo.com/"
Mon Mar 29 12:02:37 2021,http://yahoo.com:80/cpadmin,301,8,"https://www.yahoo.com/"
Mon Mar 29 12:02:37 2021,http://yahoo.com:80/CPAN,301,8,"https://www.yahoo.com/"
Mon Mar 29 12:02:37 2021,http:
